Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	Monitoring Area	Watershed	Geologic Unit Code	Well Status	Inactive Date	TOC Elevation	LWA Notes
LAO-4						['24']	['3 in']		['24']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-21				['6656.24']		['941.4']	['6 in']		['906.8']							['6656.24']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-51 S1				['6762.17']				['915']	['925.2', '925.24']								Ground Elevation- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW, Screen Bottom [ft]- MW
PRB-MW-01	['Alluvial']																Aquifer- MW
R-44 S2				['6714.91']					['995.2']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-62				['6984.88']			['5.0 in']						['Tjfp']			['6984.88']	Ground Elevation- MW, Geologic Unit Code- MW, Well Diameter [in]- MW, TOC Elevation- MW
R-55 S2				['6533.86']					['1015.4']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-5 S2				['6472.6']					['388.8']								Ground Elevation- MW, Screen Bottom [ft]- MW
3MAO-2		['35.839150599999996', '35.839150600000']				['30']	['4 in']		['24.7']				['Qal']				Latitude- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, Latitude- CD
R-7 S3				['6779.2']					['937.4']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-22 S4		['35.829246', '35.829246499999996', '35.829246500000']		['6650.5']					['1384.9']								Latitude- MW, Ground Elevation- MW, Latitude- MW, Screen Bottom [ft]- MW, Latitude- CD
R-14 S2			['-106.285645', '-106.2856454', '-106.285645400000']	['7062.08']					['1293.1']								Longitude- MW, Ground Elevation- MW, Longitude- MW, Screen Bottom [ft]- MW, Longitude- CD
LAOI(a)-1.1				['6835.2']		['310.2', '310.15']	['3 in']		['305']							['6837.94', '6835.2']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Total Well Depth [ft]- MW, TOC Elevation- MW
CDBO-8						['23']			['13']								Total Well Depth [ft]- MW, Screen Bottom [ft]- MW
R-56 S2				['6780.88']					['1067.1']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-1				['6881.21']		['1080.1']	['4.5 in']	['1031.1']	['1057.4', '1057.42']							['6881.21']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Screen Bottom [ft]- MW
R-35a			['-106.2435541', '-106.243554', '-106.243554000000', '-106.243554100000']	['6623.06']		['1086.2']	['4.5 in']		['1062.2']							['6623.06']	Longitude- MW, Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Longitude- MW, Longitude- CD, Longitude- CD
Test Well 8				['6873.5']		['1065']	['8 in']		['1065']								Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-20 OB	['Regional']	['35.8363447']															Aquifer- MW, Latitude- MW
LAOI-3.2a OB	['Intermediate']																Aquifer- MW
R-38				['6668.58']		['853.4']	['5 in']		['831.2']							['6668.58']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-50 S1				['6904.11']					['1087']								Ground Elevation- MW, Screen Bottom [ft]- MW
LAUZ-2		['35.877646', '35.8776464', '35.877646000000', '35.877646400000']		['7026.72']			['4 in']		['10.27']								Latitude- MW, Ground Elevation- MW, Latitude- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, Latitude- CD, Latitude- CD
